internal-ID,name,GND-Nummer,GND-Link,external-ID,comment
P0001,"Helmholtz, Hermann von",11854893X,https://d-nb.info/gnd/11854893X,,
P0002,"Tiersch, Otto",117378623,https://d-nb.info/gnd/117378623,,
P0003,"Hostinský, Otakar",117012955,https://d-nb.info/gnd/117012955,,
P0004,"Polak, A. J.",1055143327,https://d-nb.info/gnd/1055143327,,
P0005,"Rameau, Jean-Philippe",118598090,https://d-nb.info/gnd/118598090,,
P0006,"Capellen, Georg",118917188,https://d-nb.info/gnd/118917188,,
P0007,"Hauptmann, Moritz",118709143,https://d-nb.info/gnd/118709143,,
P0008,"Haydn, Joseph",118547356,https://d-nb.info/gnd/118547356,,
P0009,"Winterfeld, Carl von",100704018,https://d-nb.info/gnd/100704018,,
P0010,"Zarlino, Gioseffo",118772287,https://d-nb.info/gnd/118772287,,
P0011,"Alembert, Jean Le Rond d'",11850178X,https://d-nb.info/gnd/11850178X,,
P0012,"Kiesewetter, R. G.",118722239,https://d-nb.info/gnd/118722239,,
P0013,"Hegel, Georg Wilhelm Friedrich",118547739,https://d-nb.info/gnd/118547739,,
P0014,"Weber, Gottfried",118643231,https://d-nb.info/gnd/118643231,,
P0015,"Mozart, Wolfgang Amadeus",118584596,https://d-nb.info/gnd/118584596,,
P0016,"Beethoven, Ludwig van",118508288,https://d-nb.info/gnd/118508288,,
P0017,"Riemann, Hugo",118600877,https://d-nb.info/gnd/118600877,,
P0018,"Oettingen, Artur Joachim von",117108235,https://d-nb.info/gnd/117108235,,
P0019,"Stumpf, Carl",118933299,https://d-nb.info/gnd/118933299,,
P0020,"Salinas, Francisco",119378523,https://d-nb.info/gnd/119378523,,
P0021,Descartes,115911241X,https://d-nb.info/gnd/115911241X,,
P0022,"Mersenne, Marin",118581201,https://d-nb.info/gnd/118581201,,
P0023,"Tartini, Giuseppe",118620878,https://d-nb.info/gnd/118620878,,
P0024,"Levens, Charles",130509892,https://d-nb.info/gnd/130509892,,
P0025,Serre,4279224-1,https://d-nb.info/gnd/4279224-1,,
P0026,"Blainville, Charles Henri de",100043917,https://d-nb.info/gnd/100043917,,
P0027,"Jamard, Pierre",1193937329,https://d-nb.info/gnd/1193937329,,
P0028,"Vallotti, Francesco Antonio",119316692,https://d-nb.info/gnd/119316692,,
P0029,"Sabbatini, Galeazzo",134845625,https://d-nb.info/gnd/134845625,,
P0030,"Thürlings, Adolf",117359106,https://d-nb.info/gnd/117359106,,
P0031,"Krisper, Anton",1019705531,https://d-nb.info/gnd/1019705531,,
P0032,"Sauveur, Joseph",11879471X,https://d-nb.info/gnd/11879471X,,
P0033,"Lotze, Hermann",118574574,https://d-nb.info/gnd/118574574,,
P0034,"Goethe, Johann Wolfgang von",118540238,https://d-nb.info/gnd/118540238,,
P0035,"Hiller, F.",12832404X,https://d-nb.info/gnd/12832404X,,
P0036,"Kirnberger, Johann Philipp",118777238,https://d-nb.info/gnd/118777238,,
P0037,"Rebikov, Vladimir Ivanovič",118948652,https://d-nb.info/gnd/118948652,,
P0038,"Debussy, Claude",118524186,https://d-nb.info/gnd/118524186,,
P0039,"Hutschenruyter, Wouter",134698886,https://d-nb.info/gnd/134698886,,
P0040,"Belinfante, Ary",,,,
